int,resp,probs,feedback,Subject,Block,Run,Task,Main
600.0,614.5031810447412,0.6404490404793951,0.5842840567126086,1,Short Uniform,1090,1,True
525.0,539.5201679749025,0.21968304920053985,0.7649352490499206,1,Short Uniform,1091,1,True
750.0,651.6907714114903,0.7034635205301569,17.18169675674283,1,Short Uniform,1092,1,True
450.0,595.0791025275507,0.1422526131852762,103.94047402567692,1,Short Uniform,1093,1,True
450.0,356.95597908802984,0.09339849176486095,42.751554703541444,1,Short Uniform,1094,1,True
525.0,408.1849281299453,0.42301980870845934,49.5084299900446,1,Short Uniform,1095,1,True
825.0,517.9876359937335,0.3045386557565373,138.4853504539449,1,Short Uniform,1096,1,True
675.0,577.8849008601702,0.6351162945270784,20.69979145336399,1,Short Uniform,1097,1,True
600.0,795.4193230092537,0.06732351866106227,106.07975501498623,1,Short Uniform,1098,1,True
750.0,741.9698253601238,0.538412080344908,0.11463769732784256,1,Short Uniform,1099,1,True
525.0,522.5505396863209,0.15653652643146296,0.021768184411025238,1,Short Uniform,1100,1,True
675.0,516.2064883149751,0.0332639657150758,55.34239638576052,1,Short Uniform,1101,1,True
525.0,392.7195124696787,0.10222948461930559,63.48526941046526,1,Short Uniform,1102,1,True
600.0,591.3609142803053,0.10253898778865923,0.2073161168673118,1,Short Uniform,1103,1,True
750.0,764.8301509033013,0.6281440352452181,0.39099266811500016,1,Short Uniform,1104,1,True
750.0,452.2961902054413,0.03169387829954449,157.5601037621241,1,Short Uniform,1105,1,True
600.0,740.0123372066288,0.09497878891814818,54.454040472396464,1,Short Uniform,1106,1,True
675.0,683.3510040320591,0.6034907481661218,0.15306286604876265,1,Short Uniform,1107,1,True
450.0,702.2157615858704,0.27675594877405385,314.1372365053858,1,Short Uniform,1108,1,True
600.0,519.7324481503362,0.020829892742249445,17.896888555384653,1,Short Uniform,1109,1,True
450.0,429.448624310525,0.046170726025570236,2.085723667802189,1,Short Uniform,1110,1,True
450.0,429.79636649328694,0.35233921831859144,2.015737317894216,1,Short Uniform,1111,1,True
750.0,643.7412885018659,0.7624138833526163,20.07273558976656,1,Short Uniform,1112,1,True
675.0,661.9401411984429,0.06972767660781723,0.3743427422038037,1,Short Uniform,1113,1,True
600.0,568.9110197605861,0.5095300910345759,2.684790812018522,1,Short Uniform,1114,1,True
600.0,428.92017357105766,0.2987966576244126,81.300852808214,1,Short Uniform,1115,1,True
600.0,401.52681443126824,0.600715689647118,109.42112608277841,1,Short Uniform,1116,1,True
750.0,545.7564625652152,0.2854754621796111,74.16075126022105,1,Short Uniform,1117,1,True
600.0,566.5284215596029,0.6633130992601023,3.112073786921274,1,Short Uniform,1118,1,True
675.0,746.7812608272693,0.715920298260399,11.308750410869612,1,Short Uniform,1119,1,True
675.0,647.4239901096125,0.7863241208915376,1.668996041645536,1,Short Uniform,1120,1,True
600.0,542.7398874327314,0.30025923832021456,9.1075569200452,1,Short Uniform,1121,1,True
450.0,643.5801593937815,0.3334725840250186,185.0532252391203,1,Short Uniform,1122,1,True
525.0,596.5660184710437,0.2815425610916621,18.582113377951067,1,Short Uniform,1123,1,True
525.0,544.1601036990379,0.615379190490791,1.3319168208902894,1,Short Uniform,1124,1,True
750.0,643.1660804413639,0.2629789670045669,20.29064243246424,1,Short Uniform,1125,1,True
675.0,584.2627538320136,0.7397095667904582,18.070228460136665,1,Short Uniform,1126,1,True
450.0,438.1708218833198,0.33646364193524897,0.6910096539068955,1,Short Uniform,1127,1,True
600.0,650.8289896740152,0.20430941218445045,7.176628309114302,1,Short Uniform,1128,1,True
450.0,476.4907729464842,0.3996586330312348,3.4654866730971774,1,Short Uniform,1129,1,True
750.0,465.72557238012286,0.08805638827777165,143.66568924197114,1,Short Uniform,1130,1,True
600.0,583.1277092625257,0.6686244152913111,0.7907616520273881,1,Short Uniform,1131,1,True
750.0,551.5525734096307,0.6966039523847775,70.01134421393782,1,Short Uniform,1132,1,True
450.0,476.7501761044853,0.03475747590455591,3.5336885018319872,1,Short Uniform,1133,1,True
525.0,668.7334707336158,0.0734088357990933,74.95441490841252,1,Short Uniform,1134,1,True
675.0,544.7792657699849,0.6669909494257695,37.21797448209431,1,Short Uniform,1135,1,True
750.0,480.25852481071865,0.35443765755163953,129.3519349996261,1,Short Uniform,1136,1,True
675.0,589.4454940015718,0.1429194208600644,16.064907537196362,1,Short Uniform,1137,1,True
600.0,671.5309689995576,0.7815262373574196,14.212998683376846,1,Short Uniform,1138,1,True
675.0,497.2112131772067,0.625596293314001,69.37471104509333,1,Short Uniform,1139,1,True
750.0,606.8775745526036,0.41151373553900095,36.41605096168095,1,Short Uniform,1140,1,True
750.0,551.8848608751562,0.12779397511986174,69.77708151192218,1,Short Uniform,1141,1,True
675.0,454.73231442623916,0.03778387451188059,106.48637214380501,1,Short Uniform,1142,1,True
450.0,660.6039074593689,0.4133182725331025,219.03212759088598,1,Short Uniform,1143,1,True
825.0,572.1331501589776,0.19444915541888858,93.9454820914926,1,Short Uniform,1144,1,True
600.0,892.9029727323652,0.051353354477098136,238.31153176515753,1,Short Uniform,1145,1,True
600.0,488.5806014707404,0.035208730213443104,34.48411769061659,1,Short Uniform,1146,1,True
750.0,599.09312545153,0.3552704294811321,40.485128508422505,1,Short Uniform,1147,1,True
600.0,473.9721131803206,0.02828565148927428,44.119522933983106,1,Short Uniform,1148,1,True
675.0,551.3696327778845,0.02857408459803289,33.54615681640634,1,Short Uniform,1149,1,True
600.0,661.898275790996,0.7855015765068013,10.64276818305055,1,Short Uniform,1150,1,True
750.0,624.6200158823132,0.2513801746161624,27.946916297513603,1,Short Uniform,1151,1,True
675.0,598.6560397137669,0.773907196506659,12.792099362822372,1,Short Uniform,1152,1,True
825.0,697.2784006555786,0.3303898162587125,23.96739311529389,1,Short Uniform,1153,1,True
525.0,666.6290052256747,0.1216882764053402,72.77560134680893,1,Short Uniform,1154,1,True
750.0,675.4495762333306,0.5192748429024402,9.880472326737747,1,Short Uniform,1155,1,True
750.0,577.1788662335625,0.7574035649023718,53.09714538011888,1,Short Uniform,1156,1,True
450.0,760.1890248693854,0.1522772274440258,475.146820490964,1,Short Uniform,1157,1,True
525.0,607.2003271983008,0.23871786219995758,24.51480740683068,1,Short Uniform,1158,1,True
825.0,641.2456405202463,0.14492891140578337,49.609791923327165,1,Short Uniform,1159,1,True
825.0,819.8280469452111,0.26951881774593106,0.03930078736593608,1,Short Uniform,1160,1,True
675.0,713.5841668817029,0.0573641051087157,3.2674632295310833,1,Short Uniform,1161,1,True
675.0,538.3970060081239,0.8177120373654418,40.95556206868488,1,Short Uniform,1162,1,True
525.0,709.4101646276063,0.057164862128265534,123.38180070015726,1,Short Uniform,1163,1,True
675.0,518.7465354667107,0.6750602981811088,53.58605251831197,1,Short Uniform,1164,1,True
525.0,463.686949119397,0.029087427544051,13.639148147981535,1,Short Uniform,1165,1,True
675.0,540.5805348182222,0.7097069917366251,39.656719055704095,1,Short Uniform,1166,1,True
750.0,581.7795197166727,0.7623518083378258,50.30778664311701,1,Short Uniform,1167,1,True
750.0,832.6012994084167,0.404812425276607,12.129732735926938,1,Short Uniform,1168,1,True
525.0,448.9815159610868,0.03428152956370668,20.966203775326978,1,Short Uniform,1169,1,True
450.0,649.9731650532805,0.10221450446107873,197.4778604514892,1,Short Uniform,1170,1,True
450.0,415.66053314225724,0.3352034819408831,5.8232048596247585,1,Short Uniform,1171,1,True
600.0,569.3257237192415,0.7191958397317193,2.6136422926341725,1,Short Uniform,1172,1,True
525.0,548.903614145726,0.3350388922528638,2.073044060690259,1,Short Uniform,1173,1,True
750.0,580.5119382988892,0.08870655434510494,51.06880543857699,1,Short Uniform,1174,1,True
750.0,530.2258560741994,0.2608418570535633,85.86786549034397,1,Short Uniform,1175,1,True
600.0,494.33160888768987,0.7288255004494218,31.016135778511504,1,Short Uniform,1176,1,True
750.0,544.5010434645892,0.28370208184565443,75.07523757714249,1,Short Uniform,1177,1,True
450.0,503.6758833377125,0.35295692731800415,14.22765655349986,1,Short Uniform,1178,1,True
525.0,547.3621640020963,0.7400500208773872,1.814299787235014,1,Short Uniform,1179,1,True
675.0,617.9609463373885,0.6153557833017618,7.140638996381407,1,Short Uniform,1180,1,True
450.0,455.00626851843487,0.28331644368619174,0.12376654063541738,1,Short Uniform,1181,1,True
825.0,499.0788922595074,0.3656927149599637,156.06915477801985,1,Short Uniform,1182,1,True
600.0,459.6973838635515,0.7404464478367215,54.68006692981003,1,Short Uniform,1183,1,True
825.0,460.7647756154848,0.03612126725702765,194.91981440945915,1,Short Uniform,1184,1,True
825.0,692.0726802430272,0.12803966805217812,25.96095109314599,1,Short Uniform,1185,1,True
525.0,566.0418345749649,0.2744723060637939,6.111318586045482,1,Short Uniform,1186,1,True
525.0,691.5615288381637,0.18587185138784074,100.65394245408227,1,Short Uniform,1187,1,True
600.0,533.6971225497647,0.7310493100153704,12.211309883835897,1,Short Uniform,1188,1,True
450.0,482.2171598622839,0.3709628041853295,5.1256562448985505,1,Short Uniform,1189,1,True
675.0,422.6305365861867,0.03300249334014632,139.78676776686106,1,Short Uniform,1190,1,True
825.0,484.89372682819504,0.09228863170613077,169.95008565776223,1,Short Uniform,1191,1,True
525.0,715.2027985538754,0.2957099430668623,131.2548011890289,1,Short Uniform,1192,1,True
600.0,511.94286714005756,0.4203351278745147,21.53905179864876,1,Short Uniform,1193,1,True
600.0,560.8402658663458,0.16704243063915566,4.259679937273558,1,Short Uniform,1194,1,True
675.0,658.8802113948818,0.04806169099930343,0.5703101995581844,1,Short Uniform,1195,1,True
675.0,614.4253753922379,0.6301399248641435,8.053300732776504,1,Short Uniform,1196,1,True
