Subject,Cond,Trial,T_s,T_p,Main
0,One,405,2299.61,2299.61,Train
0,One,406,1699.83,1699.83,Train
0,One,407,1666.52,1666.52,Train
0,One,408,1804.74,1804.74,Train
0,One,409,1406.95,1406.95,Train
0,One,410,1984.07,1984.07,Train
0,One,411,1845.53,1845.53,Train
0,One,412,1933.72,1933.72,Train
0,One,413,2323.1,2323.1,Train
0,One,414,1734.18,1734.18,Train
0,One,415,1807.72,1807.72,Train
0,One,416,1550.43,1550.43,Train
0,One,417,2112.18,2112.18,Train
0,One,418,1867.83,1867.83,Train
0,One,419,2233.2,2233.2,Train
0,One,420,2156.55,2156.55,Train
0,One,421,1780.95,1780.95,Train
0,One,422,2003.04,2003.04,Train
0,One,423,2352.85,2352.85,Train
0,One,424,1829.61,1829.61,Train
0,One,425,1756.16,1756.16,Train
0,One,426,1929.68,1929.68,Train
0,One,427,1898.97,1898.97,Train
0,One,428,1899.72,1899.72,Train
0,One,429,1863.32,1863.32,Train
0,One,430,2079.34,2079.34,Train
0,One,431,2104.93,2104.93,Train
0,One,432,1677.44,1677.44,Train
0,One,433,1451.59,1451.59,Train
0,One,434,1990.85,1990.85,Train
0,One,435,2143.69,2143.69,Train
0,One,436,2112.89,2112.89,Train
0,One,437,2249.74,2249.74,Train
0,One,438,2071.33,2071.33,Train
0,One,439,1916.01,1916.01,Train
0,One,440,1469.7,1469.7,Train
0,One,441,1516.13,1516.13,Train
0,One,442,1757.95,1757.95,Train
0,One,443,1528.8,1528.8,Train
0,One,444,2444.51,2444.51,Train
0,One,445,1700.74,1700.74,Train
0,One,446,2094.52,2094.52,Train
0,One,447,1832.48,1832.48,Train
0,One,448,1849.32,1849.32,Train
0,One,449,1377.05,1377.05,Train
0,One,450,2085.28,2085.28,Train
0,One,451,2091.4,2091.4,Train
0,One,452,2082.67,2082.67,Train
0,One,453,2090.89,2090.89,Train
0,One,454,1710.28,1710.28,Train
0,One,455,1445.86,1445.86,Train
0,One,456,2092.12,2092.12,Train
0,One,457,1690.87,1690.87,Train
0,One,458,2176.42,2176.42,Train
0,One,459,1948.99,1948.99,Train
0,One,460,2151.83,2151.83,Train
0,One,461,1690.5,1690.5,Train
0,One,462,1909.77,1909.77,Train
0,One,463,2179.24,2179.24,Train
0,One,464,1816.34,1816.34,Train
0,One,465,1680.32,1680.32,Train
0,One,466,2099.74,2099.74,Train
0,One,467,1819.67,1819.67,Train
0,One,468,1831.44,1831.44,Train
0,One,469,1991.61,1991.61,Train
0,One,470,1856.44,1856.44,Train
0,One,471,2332.09,2332.09,Train
0,One,472,1514.07,1514.07,Train
0,One,473,1664.12,1664.12,Train
0,One,474,1526.57,1526.57,Train
0,One,475,1837.39,1837.39,Train
0,One,476,2057.31,2057.31,Train
0,One,477,1613.56,1613.56,Train
0,One,478,2122.11,2122.11,Train
0,One,479,1515.14,1515.14,Train
0,One,480,1568.24,1568.24,Train
0,One,481,1940.49,1940.49,Train
0,One,482,2158.29,2158.29,Train
0,One,483,1794.39,1794.39,Train
0,One,484,1997.02,1997.02,Train
0,One,485,2259.24,2259.24,Train
0,One,486,1550.18,1550.18,Train
0,One,487,1882.33,1882.33,Train
0,One,488,2318.53,2318.53,Train
0,One,489,1542.47,1542.47,Train
0,One,490,2459.32,2459.32,Train
0,One,491,1661.81,1661.81,Train
0,One,492,1737.93,1737.93,Train
0,One,493,1639.06,1639.06,Train
0,One,494,2067.44,2067.44,Train
0,One,495,1843.09,1843.09,Train
0,One,496,1782.65,1782.65,Train
0,One,497,1928.86,1928.86,Train
0,One,498,2299.51,2299.51,Train
0,One,499,1835.75,1835.75,Train
0,One,500,1835.75,1835.75,Test
0,One,501,1835.75,1835.75,Test
0,One,502,1835.75,1835.75,Test
0,One,503,1835.75,1835.75,Test
0,One,504,1835.75,1835.75,Test
0,One,505,1835.75,1835.75,Test
0,One,506,1835.75,1835.75,Test
0,One,507,1835.75,1835.75,Test
0,One,508,1835.75,1835.75,Test
0,One,509,1835.75,1835.75,Test
0,One,510,1835.75,1835.75,Test
0,One,511,1835.75,1835.75,Test
0,One,512,1835.75,1835.75,Test
0,One,513,1835.75,1835.75,Test
0,One,514,1835.75,1835.75,Test
0,One,515,1835.75,1835.75,Test
0,One,516,1835.75,1835.75,Test
0,One,517,1835.75,1835.75,Test
0,One,518,1835.75,1835.75,Test
0,One,519,1835.75,1835.75,Test
0,One,520,1835.75,1835.75,Test
0,One,521,1835.75,1835.75,Test
0,One,522,1835.75,1835.75,Test
0,One,523,1835.75,1835.75,Test
0,One,524,1835.75,1835.75,Test
0,One,525,1835.75,1835.75,Test
0,One,526,1835.75,1835.75,Test
0,One,527,1835.75,1835.75,Test
0,One,528,1835.75,1835.75,Test
0,One,529,1835.75,1835.75,Test
0,One,530,1835.75,1835.75,Test
0,One,531,1835.75,1835.75,Test
0,One,532,1835.75,1835.75,Test
0,One,533,1835.75,1835.75,Test
0,One,534,1835.75,1835.75,Test
0,One,535,1835.75,1835.75,Test
0,One,536,1835.75,1835.75,Test
0,One,537,1835.75,1835.75,Test
0,One,538,1835.75,1835.75,Test
0,One,539,1835.75,1835.75,Test
0,One,540,1835.75,1835.75,Test
0,One,541,1835.75,1835.75,Test
0,One,542,1835.75,1835.75,Test
0,One,543,1835.75,1835.75,Test
0,One,544,1835.75,1835.75,Test
0,One,545,1835.75,1835.75,Test
0,One,546,1835.75,1835.75,Test
